subid,gender,age,agegroup
021615-01,male,4.63,4
021615-02,female,4.2,4
021615-03,male,5.19,5
021615-04,female,3.9,3
021615-05,female,3.85,3
021615-06,male,3.31,3
021615-07,female,3.86,3
021615-08,female,5.62,5
021615-09,female,3.38,3
021615-10,female,4.75,4
021615-11,female,4.37,4
021615-12,female,4.95,4
021615-13,female,4.47,4
021615-14,female,3.41,3
021615-15,male,3.81,3
021615-16,male,4.95,4
022715-01,female,3.65,3
022715-02,female,3.92,3
022715-03,male,4.61,4
022715-04,male,4.42,4
022715-05,female,5.4,5
022715-06,male,2.96,2
022715-07,male,3.74,3
022715-08,NAN,3.16,3
022715-09,male,3.43,3
030515-01,male,4.25,4
030515-02,male,4.45,4
030515-03,male,3.44,3
030515-04,female,4.78,4
030515-05,female,3.62,3
030515-06,male,4.99,4
030515-07,female,3.13,3
030515-08,male,4.56,4
030615-01,female,3.97,3
030615-02,male,4.53,4
030615-03,male,3.54,3
030615-04,male,3.12,3
030615-05,female,3.82,3
030615-06,male,4.76,4
030615-07,male,4.05,4
030615-08,female,4.13,4
030815-01,male,4.09,4
030815-02,male,4.77,4
030815-03,male,3.6,3
030815-04,male,4.71,4
030815-05,female,4.01,4
030815-06,male,3.59,3
030815-07,male,4.71,4
030815-08,NAN,NAN,NAN
030815-09,NAN,4.12,4
030815-10,female,4.45,4
031215-01,male,3.19,3
031215-02,NAN,NAN,NAN
031215-03,male,4.18,4
031215-04,male,4.25,4
031315-01,female,3.78,3
031315-02,NAN,3,3
031315-03,male,3.64,3
031315-04,female,4.91,4
031315-05,female,4.88,4
031315-06,female,4.06,4
031515-01,male,4.49,4
031515-02,female,3.55,3
031515-03,female,4.57,4
031515-04,female,4.18,4
041315-01,female,4.27,4
041315-02,male,4.76,4
041315-03,male,4.78,4
041315-04,female,3.4,3
041315-05,male,3.5,3
041315-06,female,3.91,3
041315-07,female,4.98,4
041315-08,male,3.4,3
042415-01,male,4.19,4
042415-02,female,3.61,3
042415-03,male,3.62,3
042415-04,female,3.48,3
042415-05,female,3.62,3
042415-06,male,4.39,4
042415-07,male,3.8,3
042415-08,female,4.62,4
042415-09,NAN,NAN,NAN
050115-01,female,3.24,3
050115-02,NAN,NAN,NAN
050115-03,female,4.2,4
050115-04,female,3.44,3
050115-05,male,4.68,4
050115-06,female,NAN,NAN
050115-07,male,4.77,4
050115-08,male,4.3,4
051515-01,NAN,NAN,NAN
051515-02,male,3.48,3
051515-03,female,3.59,3
051515-04,female,4.15,4
051515-05,female,3.68,3
051515-06,female,4.38,4
060515-01,female,4.32,4
060515-02,female,3.21,3
060515-03,NAN,NAN,NAN
060515-04,female,3.56,3
060515-05,female,2.69,2
060515-06,male,4.28,4
060515-07,male,3.13,3
060515-08,female,4.76,4
060815-01,female,4.6,4
060815-02,male,3.09,3
060815-03,male,3.75,3
060815-04,female,3.04,3
060815-05,female,3.69,3
061015-01,male,3.14,3
061015-02,NAN,NAN,NAN
061015-03,NAN,NAN,NAN
061015-04,female,4.07,4
061015-05,male,3.35,3
061015-06,female,3.24,3
061015-07,male,3.97,3
061015-08,male,3.39,3
061015-09,male,3.28,3
061015-10,NAN,NAN,NAN
061015-11,male,3.36,3
061015-12,female,3.49,3
061015-13,male,3.62,3
061115-01,female,3.07,3
061115-02,female,3.56,3
061115-03,male,4.39,4
061115-04,male,3.21,3
061115-06,female,3.88,3
