subid,condition,trialnum,item,sentence.type,neg.concept,neg.syntax,truth.value,rating
1,noContext,1,cow,negative,something,has no,TRUE,6
1,noContext,2,car,negative,,has no,FALSE,1
1,noContext,3,truck,negative,nothing,doesn't have,TRUE,7
1,noContext,4,boat,positive,,,TRUE,7
1,noContext,5,orange,positive,,,TRUE,7
1,noContext,6,horse,positive,,,TRUE,7
1,noContext,7,fork,negative,nothing,has no,TRUE,6
1,noContext,8,cookie,positive,something,,FALSE,1
1,noContext,9,dog,negative,,doesn't have,FALSE,1
1,noContext,11,cat,positive,,,TRUE,7
1,noContext,10,banana,negative,nothing,doesn't have,TRUE,7
1,noContext,12,bowl,negative,something,has no,TRUE,6
1,noContext,13,apple,negative,something,doesn't have,TRUE,7
1,noContext,14,bus,negative,something,doesn't have,TRUE,7
1,noContext,15,plate,positive,nothing,,FALSE,1
1,noContext,16,spoon,negative,nothing,has no,TRUE,6
2,noContext,1,orange,positive,nothing,,FALSE,3
2,noContext,2,bowl,negative,nothing,doesn't have,TRUE,5
2,noContext,3,spoon,positive,,,TRUE,7
2,noContext,4,apple,positive,,,TRUE,7
2,noContext,5,cow,positive,,,TRUE,7
2,noContext,6,fork,negative,nothing,has no,TRUE,5
2,noContext,7,dog,negative,,has no,FALSE,1
2,noContext,8,cat,negative,something,doesn't have,TRUE,5
2,noContext,9,banana,negative,nothing,doesn't have,TRUE,5
2,noContext,10,boat,negative,,doesn't have,FALSE,1
2,noContext,11,truck,negative,something,has no,TRUE,5
2,noContext,12,horse,positive,something,,FALSE,1
2,noContext,13,cookie,positive,,,TRUE,7
2,noContext,14,plate,negative,something,has no,TRUE,5
2,noContext,15,car,negative,nothing,has no,TRUE,5
2,noContext,16,bus,negative,something,doesn't have,TRUE,5
3,context,1,truck,negative,something,has no,TRUE,4
3,context,2,cat,positive,,,TRUE,6
3,context,3,bus,negative,nothing,doesn't have,TRUE,6
3,context,4,plate,positive,something,,FALSE,1
3,context,6,car,negative,something,doesn't have,TRUE,7
3,context,5,cookie,negative,,doesn't have,FALSE,1
3,context,7,horse,negative,nothing,has no,TRUE,7
3,context,8,dog,negative,something,doesn't have,TRUE,6
3,context,9,boat,negative,,has no,FALSE,1
3,context,10,banana,positive,,,TRUE,7
3,context,11,fork,negative,nothing,has no,TRUE,7
3,context,12,apple,negative,something,has no,TRUE,6
3,context,13,spoon,positive,nothing,,FALSE,1
3,context,14,cow,positive,,,TRUE,7
3,context,16,bowl,negative,nothing,doesn't have,TRUE,7
3,context,15,orange,positive,,,TRUE,7
4,noContext,1,bus,negative,something,doesn't have,TRUE,6
4,noContext,2,apple,negative,nothing,has no,TRUE,7
4,noContext,3,truck,positive,something,,FALSE,2
4,noContext,4,cat,positive,,,TRUE,7
4,noContext,5,boat,negative,nothing,doesn't have,TRUE,6
4,noContext,6,orange,negative,something,has no,TRUE,6
4,noContext,7,car,negative,something,has no,TRUE,5
4,noContext,8,bowl,negative,,has no,FALSE,1
4,noContext,9,spoon,negative,something,doesn't have,TRUE,6
4,noContext,10,cookie,positive,,,TRUE,7
4,noContext,11,banana,negative,,doesn't have,FALSE,1
4,noContext,12,fork,negative,nothing,doesn't have,TRUE,6
4,noContext,13,cow,positive,,,TRUE,7
4,noContext,14,plate,negative,nothing,has no,TRUE,6
4,noContext,15,horse,positive,nothing,,FALSE,1
4,noContext,16,dog,positive,,,TRUE,7
5,context,1,truck,negative,,has no,FALSE,1
5,context,2,dog,positive,,,TRUE,7
5,context,3,banana,negative,something,doesn't have,TRUE,4
5,context,4,bus,negative,nothing,has no,TRUE,6
5,context,5,boat,positive,,,TRUE,7
5,context,6,cookie,negative,something,doesn't have,TRUE,5
5,context,7,car,positive,,,TRUE,7
5,context,8,apple,negative,something,has no,TRUE,6
5,context,9,cow,positive,nothing,,FALSE,1
5,context,10,cat,positive,something,,FALSE,1
5,context,11,spoon,negative,something,has no,TRUE,4
5,context,12,bowl,negative,nothing,has no,TRUE,5
5,context,13,fork,negative,nothing,doesn't have,TRUE,5
5,context,14,horse,negative,nothing,doesn't have,TRUE,5
5,context,15,plate,negative,,doesn't have,FALSE,1
5,context,16,orange,positive,,,TRUE,7
6,noContext,1,banana,positive,,,TRUE,7
6,noContext,2,dog,positive,nothing,,FALSE,2
6,noContext,3,plate,negative,something,has no,TRUE,7
6,noContext,4,car,negative,something,has no,TRUE,6
6,noContext,5,boat,negative,,has no,FALSE,1
6,noContext,6,bowl,negative,nothing,has no,TRUE,7
6,noContext,7,cat,negative,something,doesn't have,TRUE,6
6,noContext,8,cow,negative,something,doesn't have,TRUE,6
6,noContext,9,orange,negative,nothing,doesn't have,TRUE,7
6,noContext,10,spoon,positive,,,TRUE,7
6,noContext,11,fork,positive,something,,FALSE,1
6,noContext,12,truck,negative,nothing,has no,TRUE,6
6,noContext,13,apple,positive,,,TRUE,7
6,noContext,14,horse,negative,,doesn't have,FALSE,1
6,noContext,15,cookie,negative,nothing,doesn't have,TRUE,6
6,noContext,16,bus,positive,,,TRUE,7
7,context,1,plate,negative,nothing,doesn't have,TRUE,5
7,context,2,bus,positive,something,,FALSE,1
7,context,3,car,negative,,doesn't have,FALSE,2
7,context,4,spoon,positive,nothing,,FALSE,2
7,context,5,fork,negative,something,has no,TRUE,2
7,context,6,cat,positive,,,TRUE,6
7,context,7,cow,positive,,,TRUE,6
7,context,8,apple,negative,nothing,doesn't have,TRUE,7
7,context,9,boat,negative,something,has no,TRUE,6
7,context,10,dog,negative,nothing,has no,TRUE,6
7,context,11,orange,negative,something,doesn't have,TRUE,6
7,context,12,cookie,negative,something,doesn't have,TRUE,6
7,context,13,bowl,negative,,has no,FALSE,2
7,context,14,truck,negative,nothing,has no,TRUE,6
7,context,15,banana,positive,,,TRUE,6
7,context,16,horse,positive,,,TRUE,7
8,context,1,plate,positive,something,,FALSE,7
8,context,2,spoon,positive,,,TRUE,7
8,context,3,horse,negative,nothing,doesn't have,TRUE,7
8,context,4,fork,negative,nothing,doesn't have,TRUE,7
8,context,5,car,negative,,has no,FALSE,2
8,context,6,bus,positive,,,TRUE,7
8,context,7,dog,negative,something,has no,TRUE,2
8,context,8,truck,negative,nothing,has no,TRUE,2
8,context,9,cat,negative,nothing,has no,TRUE,2
8,context,10,orange,negative,,doesn't have,FALSE,7
8,context,11,bowl,negative,something,doesn't have,TRUE,7
8,context,12,boat,positive,nothing,,FALSE,7
8,context,13,apple,positive,,,TRUE,7
8,context,14,cow,positive,,,TRUE,7
8,context,15,cookie,negative,something,doesn't have,TRUE,7
8,context,16,banana,negative,something,has no,TRUE,2
9,noContext,1,apple,negative,something,doesn't have,TRUE,7
9,noContext,2,cat,negative,something,doesn't have,TRUE,7
9,noContext,3,fork,negative,,has no,FALSE,1
9,noContext,4,dog,negative,nothing,has no,TRUE,3
9,noContext,5,boat,positive,something,,FALSE,1
9,noContext,6,car,negative,,doesn't have,FALSE,2
9,noContext,7,bowl,positive,,,TRUE,7
9,noContext,8,truck,positive,nothing,,FALSE,2
9,noContext,9,bus,positive,,,TRUE,7
9,noContext,10,cow,negative,something,has no,TRUE,2
9,noContext,11,cookie,negative,nothing,doesn't have,TRUE,6
9,noContext,12,plate,negative,something,has no,TRUE,2
9,noContext,13,orange,positive,,,TRUE,6
9,noContext,14,spoon,positive,,,TRUE,6
9,noContext,15,banana,negative,nothing,doesn't have,TRUE,6
9,noContext,16,horse,negative,nothing,has no,TRUE,4
10,noContext,1,cat,negative,something,has no,TRUE,7
10,noContext,2,orange,negative,something,doesn't have,TRUE,6
10,noContext,3,apple,positive,,,TRUE,6
10,noContext,4,truck,negative,nothing,doesn't have,TRUE,6
10,noContext,5,cow,negative,something,has no,TRUE,2
10,noContext,6,plate,negative,,doesn't have,FALSE,2
10,noContext,7,bus,positive,something,,FALSE,2
10,noContext,8,cookie,positive,nothing,,FALSE,2
10,noContext,9,banana,negative,,has no,FALSE,2
10,noContext,10,boat,negative,nothing,doesn't have,TRUE,6
10,noContext,11,fork,negative,something,doesn't have,TRUE,2
10,noContext,12,car,positive,,,TRUE,7
10,noContext,13,bowl,positive,,,TRUE,7
10,noContext,14,spoon,negative,nothing,has no,TRUE,5
10,noContext,15,dog,negative,nothing,has no,TRUE,6
10,noContext,16,horse,positive,,,TRUE,7
11,noContext,1,car,positive,,,TRUE,6
11,noContext,2,truck,negative,nothing,doesn't have,TRUE,6
11,noContext,3,orange,negative,nothing,has no,TRUE,3
11,noContext,4,banana,negative,something,has no,TRUE,2
11,noContext,5,bus,positive,,,TRUE,6
11,noContext,6,spoon,positive,,,TRUE,2
11,noContext,7,bowl,negative,nothing,doesn't have,TRUE,2
11,noContext,8,cow,negative,something,has no,TRUE,2
11,noContext,9,cookie,positive,nothing,,FALSE,1
11,noContext,10,fork,negative,something,doesn't have,TRUE,1
11,noContext,11,plate,negative,,has no,FALSE,1
11,noContext,12,cat,negative,,doesn't have,FALSE,1
11,noContext,13,horse,negative,something,doesn't have,TRUE,1
11,noContext,14,apple,positive,something,,FALSE,1
11,noContext,15,boat,positive,,,TRUE,2
11,noContext,16,dog,negative,nothing,has no,TRUE,2
12,context,1,plate,negative,something,has no,TRUE,6
12,context,2,bus,negative,nothing,has no,TRUE,5
12,context,3,cookie,negative,something,doesn't have,TRUE,7
12,context,4,horse,positive,,,TRUE,6
12,context,5,boat,negative,something,doesn't have,TRUE,7
12,context,6,bowl,positive,,,TRUE,5
12,context,7,cat,positive,,,TRUE,6
12,context,8,orange,positive,nothing,,FALSE,6
12,context,9,truck,negative,something,has no,TRUE,3
12,context,10,banana,negative,nothing,doesn't have,TRUE,6
12,context,11,apple,negative,,has no,FALSE,3
12,context,12,cow,positive,something,,FALSE,6
12,context,13,fork,negative,nothing,doesn't have,TRUE,6
12,context,14,car,positive,,,TRUE,6
12,context,15,dog,negative,,doesn't have,FALSE,6
12,context,16,spoon,negative,nothing,has no,TRUE,4
13,noContext,1,cow,positive,nothing,,FALSE,6
13,noContext,2,dog,negative,something,has no,TRUE,6
13,noContext,3,cat,negative,,doesn't have,FALSE,6
13,noContext,4,cookie,positive,something,,FALSE,6
13,noContext,5,plate,negative,nothing,has no,TRUE,4
13,noContext,6,spoon,positive,,,TRUE,5
13,noContext,7,fork,negative,something,doesn't have,TRUE,3
13,noContext,8,horse,positive,,,TRUE,6
13,noContext,9,truck,positive,,,TRUE,6
13,noContext,10,apple,negative,something,doesn't have,TRUE,4
13,noContext,11,banana,negative,nothing,doesn't have,TRUE,6
13,noContext,12,orange,negative,,has no,FALSE,2
13,noContext,13,bowl,negative,nothing,has no,TRUE,6
13,noContext,14,car,negative,nothing,doesn't have,TRUE,6
13,noContext,15,bus,positive,,,TRUE,6
13,noContext,16,boat,negative,something,has no,TRUE,6
14,context,1,orange,negative,something,has no,TRUE,5
14,context,2,cat,negative,,doesn't have,FALSE,1
14,context,3,bus,negative,nothing,has no,TRUE,6
14,context,4,boat,negative,,has no,FALSE,1
14,context,5,bowl,positive,something,,FALSE,1
14,context,6,horse,negative,something,doesn't have,TRUE,7
14,context,7,cow,positive,nothing,,FALSE,1
14,context,8,banana,negative,something,has no,TRUE,6
14,context,9,spoon,negative,nothing,doesn't have,TRUE,7
14,context,10,dog,positive,,,TRUE,7
14,context,12,plate,negative,nothing,doesn't have,TRUE,7
14,context,11,truck,positive,,,TRUE,7
14,context,15,car,negative,nothing,has no,TRUE,7
14,context,14,cookie,positive,,,TRUE,7
14,context,13,apple,positive,,,TRUE,7
14,context,16,fork,negative,something,doesn't have,TRUE,7
15,noContext,1,boat,positive,,,TRUE,6
15,noContext,2,horse,negative,something,has no,TRUE,3
15,noContext,3,plate,negative,something,doesn't have,TRUE,4
15,noContext,4,apple,negative,,has no,FALSE,1
15,noContext,5,cow,positive,something,,FALSE,2
15,noContext,6,cookie,positive,,,TRUE,7
15,noContext,7,dog,negative,something,has no,TRUE,3
15,noContext,8,truck,negative,,doesn't have,FALSE,1
15,noContext,9,bowl,negative,something,doesn't have,TRUE,5
15,noContext,10,car,positive,,,TRUE,7
15,noContext,11,bus,positive,,,TRUE,7
15,noContext,12,spoon,negative,nothing,has no,TRUE,5
15,noContext,13,banana,negative,nothing,has no,TRUE,5
15,noContext,14,cat,positive,nothing,,FALSE,1
15,noContext,15,orange,negative,nothing,doesn't have,TRUE,5
15,noContext,16,fork,negative,nothing,doesn't have,TRUE,5
16,noContext,1,cookie,positive,nothing,,FALSE,3
