"","subid","condition","trial.num","item","sent.type","truth","resp","agegroup"
"1","021615-02","target",5,"boat","negative","True",1,"4"
"2","021615-02","target",13,"cookie","negative","False",1,"4"
"3","021615-02","target",12,"bus","negative","True",1,"4"
"4","021615-02","target",7,"truck","negative","True",1,"4"
"5","021615-02","target",16,"banana","negative","True",1,"4"
"6","021615-02","target",4,"fork","positive","True",5,"4"
"7","021615-02","target",2,"plate","positive","True",5,"4"
"8","021615-02","target",1,"orange","positive","True",4,"4"
"9","021615-02","target",6,"apple","positive","True",5,"4"
"10","021615-02","target",11,"bowl","negative","True",1,"4"
"11","021615-02","target",14,"spoon","negative","True",1,"4"
"12","021615-02","target",9,"cat","positive","False",1,"4"
"13","021615-02","target",8,"dog","positive","False",1,"4"
"14","021615-02","target",15,"cow","negative","True",1,"4"
"15","021615-02","target",3,"car","negative","True",1,"4"
"16","021615-02","target",10,"horse","negative","False",1,"4"
"17","021615-04","target",2,"boat","negative","True",5,"3"
"18","021615-04","target",5,"cow","negative","True",5,"3"
"19","021615-04","target",10,"dog","positive","True",5,"3"
"20","021615-04","target",3,"car","positive","True",5,"3"
"21","021615-04","target",15,"horse","positive","True",5,"3"
"22","021615-04","target",4,"spoon","negative","True",5,"3"
"23","021615-04","target",8,"cat","negative","True",5,"3"
"24","021615-04","target",6,"bus","negative","True",5,"3"
"25","021615-04","target",14,"orange","negative","True",2,"3"
"26","021615-04","target",9,"bowl","negative","False",2,"3"
"27","021615-04","target",1,"plate","negative","True",5,"3"
"28","021615-04","target",11,"apple","negative","False",2,"3"
"29","021615-04","target",12,"truck","negative","True",5,"3"
"30","021615-04","target",16,"banana","positive","False",2,"3"
"31","021615-04","target",7,"cookie","positive","True",5,"3"
"32","021615-04","target",13,"fork","positive","False",2,"3"
"33","021615-05","none",2,"bowl","negative","True",5,"3"
"34","021615-05","none",1,"cat","negative","False",5,"3"
"35","021615-06","none",6,"bus","negative","True",1,"3"
"36","021615-06","none",12,"cow","positive","True",5,"3"
"37","021615-06","none",11,"apple","positive","False",5,"3"
"38","021615-06","none",9,"car","negative","True",1,"3"
"39","021615-06","none",7,"plate","negative","True",3,"3"
"40","021615-06","none",13,"boat","positive","False",3,"3"
"41","021615-06","none",8,"spoon","negative","False",1,"3"
"42","021615-06","none",5,"bowl","positive","True",5,"3"
"43","021615-06","none",3,"banana","positive","True",5,"3"
"44","021615-06","none",10,"truck","positive","True",5,"3"
"45","021615-06","none",14,"cat","negative","True",3,"3"
"46","021615-06","none",1,"horse","negative","True",1,"3"
"47","021615-06","none",2,"cookie","negative","False",1,"3"
"48","021615-06","none",16,"orange","negative","True",2,"3"
"49","021615-06","none",4,"dog","negative","True",1,"3"
"50","021615-06","none",15,"fork","negative","True",2,"3"
"51","021615-07","target",16,"car","negative","False",1,"3"
"52","021615-07","target",7,"plate","negative","True",1,"3"
"53","021615-07","target",8,"fork","negative","True",1,"3"
"54","021615-07","target",10,"truck","positive","True",1,"3"
"55","021615-07","target",9,"orange","negative","True",1,"3"
"56","021615-07","target",11,"cat","negative","True",1,"3"
"57","021615-07","target",5,"bus","negative","False",1,"3"
"58","021615-07","target",6,"bowl","positive","True",1,"3"
"59","021615-07","target",14,"cookie","positive","True",1,"3"
"60","021615-07","target",4,"horse","positive","False",1,"3"
"61","021615-07","target",15,"cow","negative","True",1,"3"
"62","021615-07","target",13,"apple","negative","True",1,"3"
"63","021615-07","target",12,"dog","negative","True",1,"3"
"64","021615-07","target",2,"boat","positive","False",1,"3"
"65","021615-07","target",1,"spoon","positive","True",5,"3"
"66","021615-07","target",3,"banana","negative","True",1,"3"
"67","021615-09","target",15,"fork","positive","True",4,"3"
"68","021615-09","target",3,"bowl","negative","True",2,"3"
"69","021615-09","target",1,"bus","negative","False",1,"3"
"70","021615-09","target",6,"boat","negative","True",4,"3"
"71","021615-09","target",2,"dog","negative","True",2,"3"
"72","021615-09","target",8,"orange","positive","True",4,"3"
"73","021615-09","target",13,"cow","negative","True",5,"3"
"74","021615-09","target",11,"cookie","negative","True",4,"3"
"75","021615-09","target",4,"car","negative","True",1,"3"
"76","021615-09","target",16,"cat","negative","True",4,"3"
"77","021615-09","target",5,"banana","positive","True",5,"3"
"78","021615-09","target",10,"spoon","positive","False",2,"3"
"79","021615-09","target",7,"plate","negative","True",4,"3"
"80","021615-09","target",14,"apple","negative","False",4,"3"
"81","021615-09","target",12,"truck","positive","True",5,"3"
"82","021615-09","target",9,"horse","positive","False",1,"3"
"83","021615-10","none",11,"truck","positive","True",5,"4"
"84","021615-10","none",10,"banana","negative","True",1,"4"
"85","021615-10","none",1,"car","positive","True",5,"4"
"86","021615-10","none",4,"fork","positive","True",5,"4"
"87","021615-10","none",5,"apple","negative","True",1,"4"
"88","021615-10","none",2,"bus","negative","False",1,"4"
"89","021615-10","none",7,"orange","negative","True",1,"4"
"90","021615-10","none",8,"spoon","negative","True",1,"4"
"91","021615-10","none",3,"horse","negative","True",1,"4"
"92","021615-10","none",9,"dog","positive","True",5,"4"
"93","021615-10","none",12,"cat","negative","False",1,"4"
"94","021615-10","none",13,"cow","positive","False",1,"4"
"95","021615-10","none",15,"plate","negative","True",1,"4"
"96","021615-10","none",16,"cookie","negative","True",1,"4"
"97","021615-10","none",6,"bowl","positive","False",1,"4"
"98","021615-10","none",14,"boat","negative","True",1,"4"
"99","021615-12","target",3,"cookie","negative","True",5,"4"
"100","021615-12","target",16,"apple","negative","True",5,"4"
"101","021615-12","target",10,"fork","positive","True",5,"4"
"102","021615-12","target",15,"cat","positive","False",1,"4"
"103","021615-12","target",1,"cow","negative","True",5,"4"
"104","021615-12","target",9,"truck","positive","True",5,"4"
"105","021615-12","target",7,"bus","negative","True",5,"4"
"106","021615-12","target",8,"car","negative","False",1,"4"
"107","021615-12","target",4,"horse","positive","True",5,"4"
"108","021615-12","target",6,"banana","positive","False",1,"4"
"109","021615-12","target",5,"spoon","negative","True",5,"4"
"110","021615-12","target",14,"plate","negative","True",5,"4"
"111","021615-12","target",11,"dog","negative","False",1,"4"
"112","021615-12","target",12,"orange","positive","True",5,"4"
"113","021615-12","target",2,"boat","negative","True",5,"4"
"114","021615-12","target",13,"bowl","negative","True",5,"4"
"115","021615-14","target",12,"horse","negative","True",5,"3"
"116","021615-14","target",1,"plate","negative","False",1,"3"
"117","021615-14","target",2,"fork","positive","False",1,"3"
"118","021615-14","target",4,"apple","negative","True",5,"3"
"119","021615-14","target",13,"cow","positive","True",5,"3"
"120","021615-14","target",3,"cat","negative","True",1,"3"
"121","021615-14","target",11,"banana","negative","True",5,"3"
"122","021615-14","target",9,"orange","positive","True",5,"3"
"123","021615-14","target",5,"boat","negative","True",1,"3"
"124","021615-14","target",6,"bus","negative","True",5,"3"
"125","021615-14","target",7,"truck","positive","False",1,"3"
"126","021615-14","target",8,"bowl","negative","True",5,"3"
"127","021615-14","target",10,"dog","positive","True",5,"3"
"128","021615-14","target",16,"cookie","positive","True",5,"3"
"129","021615-14","target",14,"car","negative","False",1,"3"
"130","021615-14","target",15,"spoon","negative","True",5,"3"
"131","021615-15","target",4,"boat","negative","True",3,"3"
"132","021615-15","target",2,"banana","negative","True",3,"3"
"133","021615-15","target",3,"horse","negative","True",3,"3"
"134","021615-15","target",7,"bus","negative","True",3,"3"
"135","021615-15","target",6,"bowl","positive","True",3,"3"
"136","021615-15","target",1,"fork","positive","True",3,"3"
