subid,condition,trialnum,item,sentence.type,truth.value,rating
1,none,1,boat,positive,TRUE,7
1,foil,2,orange,positive,TRUE,5
1,foil,3,cupcake,negative,TRUE,7
1,target,4,brush,positive,TRUE,7
1,foil,5,cup,positive,TRUE,7
1,none,6,fork,negative,TRUE,7
1,none,7,banana,positive,TRUE,7
1,target,8,cookie,negative,FALSE,1
1,target,9,plate,negative,TRUE,7
1,target,10,cow,positive,TRUE,7
1,none,11,bus,negative,FALSE,1
1,target,12,bear,negative,TRUE,7
1,none,13,cat,positive,TRUE,7
1,foil,14,apple,negative,TRUE,7
1,none,15,horse,positive,FALSE,1
1,foil,16,truck,negative,FALSE,7
1,foil,17,car,positive,FALSE,1
1,foil,18,airplane,negative,TRUE,7
1,target,19,bunny,positive,TRUE,7
1,target,20,dog,positive,FALSE,1
1,none,21,spoon,negative,TRUE,7
1,target,22,pizza,negative,TRUE,7
1,foil,23,bicycle,positive,TRUE,7
1,none,24,bowl,negative,TRUE,1
2,foil,1,dog,negative,TRUE,5
2,foil,2,cookie,negative,TRUE,7
2,none,3,cupcake,negative,TRUE,6
2,foil,4,bus,positive,TRUE,7
2,foil,5,plate,positive,FALSE,2
2,none,6,airplane,negative,TRUE,5
2,none,7,cup,positive,FALSE,1
2,none,8,car,negative,FALSE,1
2,none,9,apple,positive,TRUE,7
2,target,10,banana,positive,TRUE,7
2,none,11,boat,negative,TRUE,5
2,target,12,pizza,negative,TRUE,5
2,target,13,fork,negative,FALSE,1
2,foil,14,bunny,positive,TRUE,7
2,target,15,spoon,positive,TRUE,7
2,target,16,bear,positive,FALSE,1
2,none,17,cow,positive,TRUE,7
2,target,18,truck,negative,TRUE,5
2,foil,19,bowl,negative,TRUE,5
2,target,20,orange,positive,TRUE,7
2,none,21,brush,positive,TRUE,7
2,foil,22,cat,negative,FALSE,1
2,target,23,bicycle,negative,TRUE,5
2,foil,24,horse,positive,TRUE,7
3,none,1,dog,negative,TRUE,1
3,target,2,plate,negative,TRUE,7
3,none,3,cup,positive,TRUE,7
3,target,4,cow,negative,TRUE,7
3,target,5,truck,negative,FALSE,1
3,none,6,cookie,negative,FALSE,1
3,target,7,pizza,positive,TRUE,7
3,target,8,banana,positive,TRUE,7
3,foil,9,cat,negative,TRUE,1
3,none,10,spoon,positive,TRUE,7
3,target,11,horse,negative,TRUE,7
3,foil,12,brush,positive,FALSE,1
3,none,13,apple,positive,TRUE,7
3,none,14,boat,negative,TRUE,1
3,foil,15,cupcake,negative,TRUE,3
3,target,16,bicycle,positive,FALSE,1
3,foil,17,bear,positive,TRUE,7
3,foil,18,car,positive,TRUE,7
3,none,19,bowl,positive,FALSE,1
3,foil,20,airplane,negative,TRUE,2
3,foil,21,orange,positive,TRUE,7
3,foil,22,bus,negative,FALSE,1
3,none,23,fork,negative,TRUE,2
3,target,24,bunny,positive,TRUE,7
4,none,1,plate,negative,TRUE,2
4,target,2,cookie,positive,TRUE,7
4,target,3,apple,positive,FALSE,1
4,foil,4,spoon,positive,TRUE,5
4,none,5,airplane,negative,TRUE,1
4,none,6,cup,negative,TRUE,2
4,foil,7,orange,positive,TRUE,7
4,foil,9,horse,negative,TRUE,2
4,target,8,bunny,positive,TRUE,7
4,foil,10,car,negative,FALSE,4
4,target,11,banana,negative,TRUE,2
4,none,12,bear,positive,FALSE,2
4,target,13,cat,negative,TRUE,2
4,target,14,bowl,negative,FALSE,4
4,none,15,dog,positive,TRUE,7
4,foil,16,bus,negative,TRUE,4
4,target,17,truck,positive,TRUE,7
4,foil,18,bicycle,negative,TRUE,4
4,none,19,brush,positive,TRUE,6
4,none,21,pizza,positive,TRUE,7
4,target,20,cow,negative,TRUE,2
4,none,22,fork,negative,FALSE,4
4,foil,23,cupcake,positive,TRUE,7
4,foil,24,boat,positive,FALSE,4
5,target,1,cow,negative,TRUE,7
5,target,2,banana,positive,TRUE,7
5,none,3,bowl,negative,TRUE,7
5,target,4,bicycle,positive,FALSE,4
5,none,5,fork,negative,FALSE,4
5,foil,6,airplane,positive,TRUE,6
5,target,7,horse,negative,TRUE,6
5,foil,8,truck,positive,TRUE,7
5,target,9,apple,positive,TRUE,7
5,foil,10,bunny,negative,TRUE,6
5,foil,11,spoon,negative,FALSE,4
5,none,12,car,positive,TRUE,7
5,none,13,bear,positive,TRUE,5
5,none,14,cat,positive,FALSE,3
5,foil,15,cookie,negative,TRUE,7
5,target,16,brush,positive,TRUE,7
5,foil,17,cup,positive,FALSE,1
5,foil,18,plate,positive,TRUE,6
5,target,19,cupcake,negative,TRUE,5
5,none,20,bus,negative,TRUE,5
5,none,21,dog,negative,TRUE,6
5,foil,22,pizza,negative,TRUE,6
5,target,23,boat,negative,FALSE,2
5,none,24,orange,positive,TRUE,7
6,foil,1,cup,positive,FALSE,1
6,target,2,horse,positive,TRUE,7
6,none,3,dog,negative,TRUE,5
6,none,4,bus,positive,TRUE,7
6,target,5,pizza,negative,FALSE,1
6,target,6,spoon,negative,TRUE,5
6,foil,7,car,negative,TRUE,5
6,target,8,airplane,negative,TRUE,5
6,none,9,bear,positive,TRUE,7
6,foil,10,bowl,negative,TRUE,5
6,none,11,truck,positive,TRUE,7
6,target,12,brush,positive,TRUE,7
6,none,13,cupcake,positive,FALSE,1
6,none,14,cat,negative,TRUE,5
6,none,15,apple,negative,FALSE,1
6,foil,16,boat,positive,TRUE,7
6,none,17,bicycle,negative,TRUE,5
6,foil,18,bunny,positive,TRUE,7
6,target,19,fork,positive,TRUE,7
6,target,20,cookie,negative,TRUE,5
6,foil,21,banana,positive,TRUE,7
6,foil,22,cow,negative,FALSE,1
6,target,23,orange,positive,FALSE,1
6,foil,24,plate,negative,TRUE,5
7,none,1,airplane,positive,TRUE,6
7,none,2,bear,negative,TRUE,3
7,none,3,brush,negative,TRUE,2
7,target,4,fork,positive,TRUE,6
7,target,5,orange,negative,TRUE,2
7,target,6,bunny,negative,FALSE,4
7,foil,7,apple,negative,TRUE,2
7,foil,8,bicycle,positive,TRUE,6
7,none,9,banana,positive,FALSE,4
7,foil,10,cat,negative,FALSE,3
7,foil,11,boat,negative,TRUE,4
7,none,12,bus,negative,TRUE,2
7,target,13,horse,positive,FALSE,2
7,target,14,cow,positive,TRUE,7
7,foil,15,car,negative,TRUE,6
7,none,16,cupcake,positive,TRUE,7
7,none,17,truck,positive,TRUE,7
7,foil,18,dog,positive,TRUE,6
7,foil,19,cookie,positive,TRUE,7
7,foil,20,plate,positive,FALSE,1
7,none,21,spoon,negative,FALSE,1
7,target,22,bowl,negative,TRUE,7
7,target,23,cup,positive,TRUE,7
7,target,24,pizza,negative,TRUE,7
8,none,1,fork,negative,TRUE,7
8,foil,2,dog,negative,TRUE,5
8,target,3,spoon,negative,FALSE,1
8,none,4,cupcake,negative,TRUE,3
8,none,5,bowl,positive,TRUE,7
8,none,6,boat,negative,FALSE,1
8,foil,7,apple,negative,TRUE,3
8,foil,8,orange,negative,FALSE,1
8,none,9,bunny,positive,TRUE,7
8,target,10,bicycle,positive,TRUE,7
8,target,11,brush,positive,TRUE,7
8,target,12,car,positive,FALSE,1
8,foil,13,airplane,positive,TRUE,7
8,none,14,cup,positive,FALSE,2
8,none,15,bear,positive,TRUE,7
8,target,16,truck,positive,TRUE,5
8,foil,17,plate,positive,FALSE,1
8,foil,18,cookie,positive,TRUE,7
8,target,19,cow,negative,TRUE,7
8,foil,20,bus,positive,TRUE,7
8,none,21,pizza,negative,TRUE,1
8,target,22,banana,negative,TRUE,6
8,target,23,cat,negative,TRUE,7
8,foil,24,horse,negative,TRUE,3
9,target,1,bunny,negative,TRUE,6
9,foil,2,horse,positive,TRUE,7
9,none,3,bicycle,negative,TRUE,4
9,none,4,bus,positive,FALSE,1
9,none,5,dog,positive,TRUE,7
9,foil,6,cow,positive,TRUE,7
9,none,7,bear,positive,TRUE,7
9,none,8,spoon,positive,TRUE,7
9,target,9,bowl,negative,TRUE,6
9,target,10,cupcake,positive,FALSE,1
9,foil,11,fork,positive,FALSE,1
9,foil,12,car,positive,TRUE,7
9,target,13,truck,negative,FALSE,2
9,target,14,plate,positive,TRUE,7
9,none,15,banana,negative,TRUE,5
9,foil,16,airplane,negative,FALSE,1
9,target,17,apple,negative,TRUE,6
9,foil,18,cup,negative,TRUE,4
9,foil,19,cat,negative,TRUE,5
9,foil,20,orange,negative,TRUE,3
9,none,21,pizza,negative,FALSE,1
9,target,22,boat,positive,TRUE,7
9,target,23,brush,positive,TRUE,7
9,none,24,cookie,negative,TRUE,5
10,foil,1,car,positive,TRUE,6
10,none,2,bear,negative,TRUE,6
10,none,3,apple,negative,TRUE,6
10,none,4,fork,positive,TRUE,6
10,none,5,cow,positive,TRUE,6
10,target,6,cat,negative,TRUE,6
10,foil,7,boat,negative,TRUE,3
10,none,8,dog,positive,FALSE,2
10,foil,9,airplane,negative,TRUE,3
10,target,10,cookie,negative,FALSE,2
10,foil,11,bicycle,positive,FALSE,2
10,foil,12,cupcake,negative,TRUE,5
10,target,13,banana,positive,FALSE,1
10,target,14,brush,negative,TRUE,6
10,none,15,bus,negative,TRUE,2
10,none,16,spoon,negative,FALSE,2
10,foil,17,orange,positive,TRUE,5
10,foil,18,bowl,positive,TRUE,6
10,foil,19,bunny,negative,FALSE,5
10,target,20,cup,positive,TRUE,6
10,target,21,truck,positive,TRUE,6
10,none,22,pizza,positive,TRUE,6
10,target,23,plate,positive,TRUE,6
10,target,24,horse,negative,TRUE,5
11,none,1,spoon,negative,FALSE,2
11,target,2,dog,positive,TRUE,6
11,target,3,orange,positive,TRUE,7
11,none,4,bear,negative,TRUE,5
11,foil,5,cow,negative,TRUE,6
11,target,6,apple,negative,FALSE,2
11,target,7,bowl,negative,TRUE,6
11,none,8,bunny,positive,FALSE,2
11,foil,9,car,negative,TRUE,6
11,foil,10,bus,negative,FALSE,1
11,none,11,airplane,positive,TRUE,7
11,foil,12,cupcake,negative,TRUE,7
11,none,13,bicycle,negative,TRUE,7
11,foil,14,brush,positive,TRUE,7
11,target,15,horse,negative,TRUE,7
11,target,16,pizza,positive,TRUE,7
11,foil,17,plate,positive,TRUE,6
11,none,18,cookie,positive,TRUE,7
11,none,19,banana,negative,TRUE,7
11,target,20,cat,negative,TRUE,7
11,foil,21,cup,positive,TRUE,6
11,foil,22,fork,positive,FALSE,1
11,none,23,boat,positive,TRUE,7
11,target,24,truck,positive,FALSE,1
12,foil,1,cow,negative,TRUE,5
12,none,2,bunny,positive,TRUE,7
12,foil,3,dog,negative,TRUE,5
12,foil,4,bear,positive,TRUE,7
12,foil,5,airplane,positive,TRUE,7
12,none,6,pizza,negative,TRUE,5
12,foil,7,car,positive,TRUE,7
12,foil,8,bowl,negative,FALSE,1
12,foil,9,horse,negative,TRUE,5
12,target,10,cookie,negative,TRUE,7
12,target,11,fork,negative,TRUE,6
12,none,12,banana,negative,TRUE,3
12,target,13,bus,positive,FALSE,1
12,target,14,boat,positive,TRUE,7
12,target,15,cup,negative,TRUE,7
12,none,16,apple,positive,FALSE,1
12,foil,17,bicycle,positive,FALSE,1
12,none,18,plate,positive,TRUE,7
12,none,19,orange,negative,TRUE,2
12,none,20,truck,positive,TRUE,7
12,none,21,cat,negative,FALSE,1
12,target,22,cupcake,negative,FALSE,1
12,target,23,spoon,positive,TRUE,7
12,target,24,brush,positive,TRUE,7
13,none,1,cookie,negative,FALSE,1
13,none,2,boat,positive,TRUE,7
13,none,3,cupcake,negative,TRUE,6
